id,date,week,visitor,home,line,overunder,vscore,hscore,lresult,result,ouresult,vmoneyline,hmoneyline
1,1981-01-25,Superbowl,PHI,OAK,-3.0,37.5,10,27,-1,-1,-1,,
2,1981-01-11,CC,OAK,SD,4.0,-1.0,34,27,1,1,,,
3,1981-01-11,CC,DAL,PHI,-1.0,-1.0,7,20,-1,-1,,,
4,1981-01-04,DP,DAL,ATL,2.5,-1.0,30,27,1,1,,,
5,1981-01-04,DP,OAK,CLE,3.5,-1.0,14,12,1,1,,,
6,1981-01-03,DP,MIN,PHI,7.0,-1.0,16,31,-1,-1,,,
7,1981-01-03,DP,BUF,SD,6.0,-1.0,14,20,0,-1,,,
8,1980-12-28,WC,HOU,OAK,-1.0,-1.0,7,27,-1,-1,,,
9,1980-12-28,WC,LARam,DAL,3.0,-1.0,13,34,-1,-1,,,
10,1980-12-22,16,PIT,SD,4.0,44.0,17,26,-1,-1,-1,,
11,1980-12-21,16,DEN,SEA,2.0,42.0,25,17,1,1,0,,
12,1980-12-21,16,CLE,CIN,-3.0,38.0,27,24,0,1,1,,
13,1980-12-21,16,MIN,HOU,10.0,37.0,16,20,1,-1,-1,,
14,1980-12-21,16,KC,BColt,3.0,42.0,38,28,1,1,1,,
15,1980-12-21,16,NWE,NO,-9.0,48.0,38,27,1,1,1,,
16,1980-12-21,16,BUF,SF,-6.0,42.0,18,13,-1,1,-1,,
17,1980-12-21,16,WAS,STLCard,2.0,38.0,31,7,1,1,0,,
18,1980-12-21,16,GB,DET,6.0,38.0,3,24,-1,-1,-1,,
19,1980-12-21,16,ATL,LARam,3.0,44.0,17,20,0,-1,-1,,
20,1980-12-21,16,PHI,DAL,5.0,42.0,27,35,-1,-1,1,,
21,1980-12-21,16,OAK,NYG,-8.0,42.0,33,17,1,1,1,,
22,1980-12-20,16,CHI,TB,-1.0,35.0,14,13,0,1,-1,,
23,1980-12-20,16,NYJ,MIA,6.0,40.0,24,17,1,1,1,,
24,1980-12-15,15,DAL,LARam,-2.0,46.0,14,38,-1,-1,1,,
25,1980-12-14,15,KC,PIT,8.0,41.0,16,21,1,-1,-1,,
26,1980-12-14,15,STLCard,PHI,9.0,39.0,3,17,-1,-1,-1,,
27,1980-12-14,15,SF,ATL,9.0,45.0,10,35,-1,-1,0,,
28,1980-12-14,15,MIA,BColt,3.0,40.0,24,14,1,1,-1,,
29,1980-12-14,15,OAK,DEN,-3.0,38.0,24,21,0,1,1,,
30,1980-12-14,15,TB,DET,6.0,39.0,14,27,-1,-1,1,,
31,1980-12-14,15,CIN,CHI,6.0,35.0,17,14,1,1,-1,,
32,1980-12-14,15,HOU,GB,-6.0,37.0,22,3,1,1,-1,,
33,1980-12-14,15,NO,NYJ,7.0,46.0,21,20,1,1,-1,,
34,1980-12-14,15,CLE,MIN,-3.0,39.0,23,28,-1,-1,1,,
35,1980-12-14,15,BUF,NWE,3.0,42.0,2,24,-1,-1,-1,,
36,1980-12-13,15,NYG,WAS,7.0,39.0,13,16,1,-1,-1,,
37,1980-12-13,15,SEA,SD,11.0,46.0,14,21,1,-1,-1,,
38,1980-12-08,14,NWE,MIA,-3.0,43.0,13,16,-1,-1,-1,,
39,1980-12-07,14,NO,SF,7.0,46.0,35,38,1,-1,1,,
40,1980-12-07,14,ATL,PHI,6.0,40.0,20,17,1,1,-1,,
41,1980-12-07,14,DET,STLCard,2.0,40.0,23,24,1,-1,1,,
