1,39,78,50.0%,50.0%,100
1,59,113,52.2%,46.7%,114
1.5,47,108,43.5%,45.1%,122
2,51,94,54.3%,43.5%,130
2.5,75,157,47.8%,41.9%,139
3,266,641,41.5%,40.3%,148
3.5,95,272,34.9%,38.8%,158
4,31,125,24.8%,37.3%,168
4.5,35,96,36.5%,35.7%,180
5,31,84,36.9%,34.3%,192
5.5,39,117,33.3%,32.8%,205
6,56,157,35.7%,31.4%,219
6.5,49,173,28.3%,30.0%,233
7,63,225,28.0%,28.7%,249
7.5,31,95,32.6%,27.3%,266
8,12,66,18.2%,26.1%,284
8.5,12,58,20.7%,24.8%,303
9,20,90,22.2%,23.6%,323
9.5,17,83,20.5%,22.5%,345
10,16,78,20.5%,21.4%,368
10.5,16,68,23.5%,20.3%,393
11,3,34,8.8%,19.3%,419
11.5,2,13,15.4%,18.3%,448
12,3,12,25.0%,17.3%,478
12.5,5,22,22.7%,16.4%,510
13,4,30,13.3%,15.5%,544
13.5,9,40,22.5%,14.7%,581
14,8,34,23.5%,13.9%,620
14.5,2,17,11.8%,13.1%,662
15,0,6,0.0%,12.4%,706
15.5,0,6,0.0%,11.7%,754
16,0,8,0.0%,11.1%,805
16.5,0,9,0.0%,10.4%,859
17,0,3,0.0%,9.8%,917
17.5,0,0,0.0%,9.3%,978
18,0,2,0.0%,8.7%,1,044
18.5,0,1,0.0%,8.2%,1,114
19,0,0,0.0%,7.8%,1,189
19.5,0,2,0.0%,7.3%,1,270
20,0,1,0.0%,6.9%,1,355
20.5,0,1,0.0%,6.5%,1,446
21,0,1,0.0%,6.1%,1,544
21.5,0,0,0.0%,5.7%,1,648
22,0,1,0.0%,5.4%,1,758
22.5,0,0,0.0%,5.1%,1,877
23,0,0,0.0%,4.8%,2,003
23.5,0,0,0.0%,4.5%,2,138
24,0,1,0.0%,4.2%,2,282
